24,1,1,5
60,7,1,3
63,4,1,2
52,7,1,1
44,10,1,1
85,6,2,5
124,10,3,3
123,7,4,3
31,6,4,1
15,3,5,2
119,9,6,3
77,3,7,4
105,5,10,3
35,1,13,2
120,6,13,1
127,9,13,1
32,9,16,5
39,10,17,5
7,5,17,1
48,9,18,3
116,10,19,5
101,2,19,1
43,6,20,5
13,7,20,2
121,5,20,2
80,7,21,3
122,1,22,1
26,3,23,5
14,6,24,5
126,4,25,5
57,10,25,4
50,6,25,3
56,5,25,3
1,6,25,1
96,2,26,4
98,8,27,1
107,9,29,4
94,2,29,1
75,3,30,4
78,4,30,2
92,1,31,1
6,2,33,4
108,1,33,3
11,2,33,1
42,1,34,4
97,1,34,3
19,3,34,3
16,1,34,2
100,8,34,1
87,7,35,2
28,5,36,5
112,4,36,4
8,7,36,2
2,3,36,1
71,5,37,2
49,3,38,2
83,3,39,5
65,3,40,2
58,7,40,1
18,2,41,4
109,4,41,1
34,9,43,4
110,1,45,4
37,5,46,3
106,3,46,2
59,5,46,1
113,7,47,5
47,2,47,4
54,4,48,1
64,2,48,1
115,9,49,5
61,10,49,4
29,2,50,1
23,7,50,1
5,3,51,5
33,3,51,3
22,4,52,3
17,5,52,3
118,3,53,4
73,8,53,4
46,5,53,4
41,1,53,3
93,7,54,5
72,1,54,2
10,4,56,3
51,6,57,3
81,6,58,2
79,6,58,1
82,10,59,5
20,2,59,5
12,6,59,4
104,5,59,2
66,1,61,5
21,8,62,2
9,3,64,4
62,10,66,4
30,10,67,4
25,8,67,2
74,7,68,3
38,10,72,4
40,5,72,2
114,7,73,3
84,5,73,2
102,6,74,2
89,4,75,4
55,3,76,4
68,4,76,4
27,8,77,2
76,8,78,4
3,1,80,4
70,5,81,4
4,3,84,5
88,5,85,1
36,1,86,4
103,9,86,4
45,8,86,4
95,4,86,4
53,3,88,1
67,10,89,3
117,8,91,3
86,1,92,2
111,4,95,2
69,2,96,4
91,5,96,3
125,10,96,1
90,8,99,3
99,3,99,3
