33,8,84,4
107,5,88,3
48,8,43,4
14,6,90,5
28,3,73,4
125,1,87,1
66,9,21,4
14,10,50,3
39,1,38,4
54,9,91,1
6,8,8,3
69,9,68,4
83,7,90,5
77,1,86,5
78,9,11,2
71,6,31,4
10,8,58,4
118,7,69,2
79,4,85,5
53,3,81,4
10,3,57,5
56,6,66,3
17,5,74,2
5,7,48,2
59,6,16,3
35,8,75,2
48,8,97,1
31,5,24,4
88,6,60,2
56,8,35,5
4,10,26,4
33,3,73,2
19,2,81,5
95,9,20,4
67,3,63,5
92,10,41,1
74,1,65,1
5,6,1,4
125,10,9,2
57,1,82,5
86,5,88,3
103,2,95,2
82,3,46,5
106,8,36,2
34,7,100,1
68,8,19,4
20,10,44,5
32,8,85,1
7,10,52,1
104,9,54,1
115,2,54,4
72,7,45,2
32,1,60,3
6,7,78,1
83,2,48,5
