43,1,1,5
107,1,1,4
45,1,3,4
28,1,6,1
102,1,7,3
66,1,8,1
117,1,10,5
39,1,14,3
62,1,14,1
97,1,15,5
79,1,15,2
47,1,17,3
85,1,18,1
98,1,26,5
32,1,26,4
59,1,29,2
86,1,32,4
27,1,32,1
33,1,34,5
44,1,36,4
35,1,39,2
53,1,41,3
108,1,42,5
65,1,43,3
34,1,43,3
14,1,44,3
9,1,46,5
34,1,46,4
124,1,49,4
19,1,52,4
117,1,53,2
43,1,53,1
5,1,54,3
11,1,54,2
25,1,55,4
124,1,55,1
73,1,57,1
4,1,61,4
81,1,63,5
28,1,64,5
81,1,65,2
75,1,66,1
39,1,66,1
9,1,68,5
87,1,68,1
95,1,70,3
108,1,74,3
11,1,76,2
115,1,77,1
110,1,79,3
12,1,89,4
80,1,89,3
4,1,90,4
60,1,91,4
20,1,91,2
